File	VClass	Word	Order
PH73-0-6-PHarron.txt	aw	POWDERED	0
PH82-1-3-AB-JOMalley.txt	iy	STEVEDORE	1
PH02-2-7-AB-MsJones.txt	uw	JULY	2
PH81-0-1-DWise.txt	ah	COPPED	3
PH73-5-1-AB-MCosta.txt	ae	LAVENDER	4
PH82-1-9-NJohnson.txt	iy	SPEEDS	5
PH10-2-4-AB-Tony.txt	aw	POWERED	6
PH82-1-2-Mflynn.txt	ey	ASSOCIATIONS	7
PH73-0-7-EDonnelly.txt	i	PIGS	8
PH81-3-9-AB-BDavis.txt	uw	MOVES	9
PH82-1-2-MFlynn.txt	i	INTO	10
PH00-1-3-AB-Gsalv.txti	ah	COLLEGE	11
PH74-0-1-DDegerberg.txt	uh	STRUCTURED	12
PH81-3-4-GStein.txt	aw	CLOUDS	13
PH86-3-5-MCzestowycz.txt	ay	HIDING	14
PH10-1-4-Nicole.txt	ow	GOALS	15
PH85-2-1-JRossini.txt	ah	JOLLY	16
PH06-2-3-Amanda.txt	ey	GREATLY	17
PH81-2-1-ALembolini.txt	e	PRETZELS	18
PH06-2-2-Patrick.txt	ey	BRAINSTORM	19
PH73-0-7-EDonnelly.txt	ah	SMALLPOX	20
PH81-0-1-DWise.txt	uh	HUMBLE	21
PH92-2-2-NDelVecchio.txt	ow	ROADWAYS	22
PH81-0-7-MAbdullah.txt	ow	STROKE	23
PH79-4-8-BHenderson.txt	aw	POWERFUL	24
PH10-2-3-Vince.txt	ah	HOTS	25
PH81-0-7-MAbdullah.txt	e	BENDIN'	26
PH96-3-1-Mary.txt	i	LEVIN'S	27
PH85-1-6-MrsRoberts.txt	i	MILLION	28
PH94-2-1-APiolatta.txt	ae	PSYCHIATRIC	29
PH88-1-3-JRosetti.txt	ay	BORDERLINE	30
PH88-1-3-JRosetti.txt	ah	DONATO'S	31
PH91-2-15-ABCD-NMinelli.txt	uh	MOTHER'S	32
PH79-3-6-AB-SamY.txt	ae	PASSYUNK	33
PH10-2-5-AB-Marianne.txt	ae	LATIN	34
PH73-5-4-AB-CSweeney.txt	iy	BREEZE	35
PH76-3-2-AB-MrHellerman.txt	e	GENEROUS	36
PH82-3-8-RSpumante.txt	aw	MAYFLOWER	37
PH06-1-8-ECarlin.txt	ae	PRACTICIN'	38
PH04-3-1-JNussbaum.txt	ay	LIVELY	39
PH81-0-1-DWise.txt	e	HEROIN	40
PH06-2-2-Patrick.txt	uh	PRODUCTIVE	41
PH06-2-2-Patrick.txt	ey	STATEMENTS	42
PH84-1-4-JGreenberg.txt	ae	BACKGROUNDS	43
PH81-0-8-IWalker.txt	aw	AROUND	44
PH10-2-6-Karyn.txt	aw	CROWNS	45
PH02-2-6-MHoldenbergen.txt	ay	JULY	46
PH85-3-8-Michael.txt	ah	LOT	47
